City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Mayo,38.8876,-76.5119,37.74,87,100,3.0,US,2022-01-17 13:42:59
67,Sitka,57.0531,-135.33,37.29,75,100,5.75,US,2022-01-17 13:43:00
68,Coaldale,49.7167,-112.6185,47.88,53,75,27.63,CA,2022-01-17 13:39:00
69,Cherskiy,68.75,161.3,-43.98,100,48,3.65,RU,2022-01-17 13:43:01
70,Thompson,55.7435,-97.8558,-25.44,68,0,6.91,CA,2022-01-17 13:43:01
71,Ambunti,-4.2365,142.8448,74.12,99,100,1.05,PG,2022-01-17 13:43:02
72,Caluquembe,-13.7833,14.6833,76.8,37,88,9.4,AO,2022-01-17 13:43:03
73,Riyadh,24.6877,46.7219,69.94,31,3,7.49,SA,2022-01-17 13:43:04
74,Rajpur,22.3,74.35,72.36,39,2,4.07,IN,2022-01-17 13:43:04
75,Tambun,-6.2641,107.0712,84.24,74,40,5.75,ID,2022-01-17 13:43:05
76,Hithadhoo,-0.6,73.0833,83.26,74,100,13.29,MV,2022-01-17 13:43:06
77,Sinnamary,5.3833,-52.95,79.75,75,59,10.78,GF,2022-01-17 13:43:06
78,Priverno,41.4691,13.1856,60.53,64,0,1.77,IT,2022-01-17 13:43:07
79,Arraial Do Cabo,-22.9661,-42.0278,85.86,66,0,18.41,BR,2022-01-17 13:43:08
80,Souillac,-20.5167,57.5167,88.18,70,40,5.75,MU,2022-01-17 13:43:08
81,Natal,-5.795,-35.2094,86.65,66,40,16.11,BR,2022-01-17 13:40:42
82,Agaro,7.85,36.65,64.53,89,100,2.66,ET,2022-01-17 13:43:09
83,Saint-Pierre,-21.3393,55.4781,85.68,75,75,9.22,RE,2022-01-17 13:43:10
84,Port Alfred,-33.5906,26.891,73.98,88,98,8.37,ZA,2022-01-17 13:43:11
85,Prince Rupert,54.3161,-130.3201,40.69,91,75,2.3,CA,2022-01-17 13:43:12
86,Port Blair,11.6667,92.75,79.07,72,39,9.22,IN,2022-01-17 13:43:13
87,Batavia,41.85,-88.3126,24.78,78,100,3.0,US,2022-01-17 13:43:13
88,Provideniya,64.3833,-173.3,-8.95,90,8,7.96,RU,2022-01-17 13:43:14
89,Mar Del Plata,-38.0023,-57.5575,68.02,50,0,17.0,AR,2022-01-17 13:43:15
90,Atuona,-9.8,-139.0333,78.53,75,100,18.39,PF,2022-01-17 13:43:15
91,Bathsheba,13.2167,-59.5167,75.81,88,75,18.41,BB,2022-01-17 13:43:16
92,Bethel,41.3712,-73.414,45.19,91,100,3.0,US,2022-01-17 13:43:17
